Latitude,Longitude,Angle,Speed (km/h),HDOP
37.496633,127.02815,336.0,54.1,1.0
37.49675,127.028083,336.0,54.1,1.0
37.496883,127.028017,336.0,54.1,1.0
37.497,127.02795,353.0,64.1,1.0
37.497167,127.027917,354.6,71.9,1.0
37.497333,127.0279,326.8,59.1,1.0
37.497467,127.0278,348.7,52.0,1.0
37.497583,127.027767,0.0,71.5,1.0
37.497767,127.027767,20.6,43.7,1.0
37.497867,127.027817,298.0,61.7,1.0
37.49795,127.02765,25.7,51.1,1.0
37.498067,127.027717,326.3,67.6,1.0
37.4982,127.0276,321.7,41.3,1.0
37.498283,127.027517,336.5,42.8,1.0
37.498383,127.027467,340.3,70.6,1.0
37.49855,127.027383,339.0,47.4,1.0
37.49865,127.027333,344.7,58.3,1.0
37.4988,127.027283,318.8,72.4,1.0
37.498933,127.027133,337.5,53.5,1.0
37.49905,127.027067,338.2,36.7,1.0
37.499133,127.027033,335.8,37.4,1.0
37.499233,127.026983,335.8,37.4,1.0
