Latitude,Longitude,Angle,Speed (km/h),HDOP
37.49695,127.028183,345.8,54.1,1.0
37.497083,127.028133,345.8,54.1,1.0
37.497217,127.0281,345.8,54.1,1.0
37.49735,127.02805,345.8,54.1,1.0
37.497483,127.028017,264.3,180.0,1.0
37.497433,127.02745,51.2,195.6,1.0
37.49775,127.027933,345.8,54.1,1.0
37.497867,127.027883,346.6,49.6,1.0
37.498,127.02785,345.1,58.3,1.0
37.498133,127.0278,345.8,54.1,1.0
37.498267,127.027767,345.8,54.1,1.0
37.4984,127.027717,345.8,54.1,1.0
37.498533,127.027683,345.8,54.1,1.0
37.49865,127.027633,345.8,54.1,1.0
37.498783,127.0276,345.8,54.1,1.0
37.498917,127.02755,345.8,54.1,1.0
37.49905,127.027517,345.8,54.1,1.0
37.499183,127.027467,345.8,54.1,1.0
37.499317,127.027417,345.8,54.1,1.0
